                                                 bin_name, config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSizeInner, const_pageSizeLeaf, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time, cycle, instr, L1_miss, LLC_miss, br_miss, task, scale, IPC, CPU, GHz 
page-size-builds/-DPS_I=1024 -DPS_L=16384/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.870, 3085.401, 1135.700,  58.178,   41.387,  13.372, 686.979, 10000000.000, 0.368, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.857, 3006.065, 1622.688,  86.612,   54.884,  16.612, 669.287, 4268639.000, 0.540, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.415, 2881.013, 1268.512,  49.179,   32.568,  13.350, 641.469, 10000000.000, 0.440, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.987, 3139.317, 1706.805,  86.372,   55.077,  16.664, 699.628, 4268639.000, 0.544, 1.000, 4.487 
page-size-builds/-DPS_I=1024 -DPS_L=16384/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.530, 2931.469, 1365.191,  48.960,   32.081,  13.337, 653.009, 10000000.000, 0.466, 1.000, 4.489 
page-size-builds/-DPS_I=1024 -DPS_L=16384/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.176, 3341.831, 1489.078, 104.194,   72.025,  13.453, 744.037, 4268639.000, 0.446, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 8.100, 3638.052, 1357.170,  76.777,   55.287,  11.112, 810.017, 10000000.000, 0.373, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.548, 3730.376, 2216.710,  95.088,   55.451,  15.112, 830.591, 4268639.000, 0.594, 0.999, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 8.960, 4021.806, 1791.337,  83.971,   55.470,  13.231, 895.501, 10000000.000, 0.445, 0.999, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.635, 2770.941, 1749.862,  56.144,   30.538,  16.858, 617.300, 4268639.000, 0.632, 1.000, 4.489 
page-size-builds/-DPS_I=1024 -DPS_L=2048/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.464, 2903.081, 1382.964,  45.904,   28.698,  14.503, 646.402, 10000000.000, 0.476, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.602, 2737.502, 1745.191,  56.237,   30.412,  16.851, 609.488, 4268639.000, 0.638, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.319, 2837.888, 1382.984,  45.857,   28.917,  14.510, 631.882, 10000000.000, 0.487, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.180, 2293.627, 2029.239,  41.574,   21.737,  16.801, 510.666, 4268639.000, 0.885, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 5.682, 2551.821, 1350.749,  38.486,   23.179,  12.957, 568.175, 10000000.000, 0.529, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.371, 2494.383, 1441.068,  54.800,   29.285,  15.968, 555.364, 4268639.000, 0.578, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.112, 2744.850, 1192.925,  48.445,   29.706,  14.139, 611.172, 10000000.000, 0.435, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.638, 2775.389, 1744.339,  56.364,   30.493,  16.797, 617.921, 4268639.000, 0.629, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.358, 2855.590, 1382.875,  46.021,   28.737,  14.507, 635.801, 10000000.000, 0.484, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.628, 2765.286, 1842.624,  56.045,   30.541,  16.759, 615.677, 4268639.000, 0.666, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.258, 2809.142, 1473.174,  45.404,   28.141,  14.281, 625.772, 10000000.000, 0.524, 1.000, 4.489 
page-size-builds/-DPS_I=1024 -DPS_L=2048/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.657, 2795.597, 1590.763,  69.345,   39.417,  13.681, 622.420, 4268639.000, 0.569, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=2048/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               2048, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.960, 3126.110, 1369.210,  64.045,   39.880,  11.791, 696.031, 10000000.000, 0.438, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.920, 4124.179, 1687.462, 130.300,   88.712,  13.969, 918.226, 4268639.000, 0.409, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 9.224, 4142.620, 1350.248, 102.585,   74.845,  12.432, 922.352, 10000000.000, 0.326, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.193, 3359.769, 1693.609, 118.517,   72.070,  16.416, 748.033, 4268639.000, 0.504, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.864, 3082.812, 1259.501,  53.100,   35.857,  13.102, 686.389, 10000000.000, 0.409, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.151, 3315.406, 1689.814, 118.528,   72.437,  16.347, 738.167, 4268639.000, 0.510, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.859, 3080.338, 1259.462,  52.951,   36.034,  13.100, 685.848, 10000000.000, 0.409, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.262, 2380.488, 2185.935,  58.926,   28.361,  18.440, 530.004, 4268639.000, 0.918, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 5.578, 2505.276, 1337.774,  51.906,   28.560,  12.774, 557.816, 10000000.000, 0.534, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.158, 3322.686, 1463.284, 120.057,   78.284,  15.443, 739.780, 4268639.000, 0.440, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 7.174, 3222.091, 1090.898,  62.818,   45.929,  12.999, 717.403, 10000000.000, 0.339, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.169, 3333.936, 1689.782, 118.735,   72.477,  16.375, 742.289, 4268639.000, 0.507, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.912, 3104.480, 1259.454,  53.473,   36.244,  13.128, 691.222, 10000000.000, 0.406, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.193, 3359.523, 1769.129, 118.306,   72.067,  16.374, 747.982, 4268639.000, 0.527, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.907, 3102.021, 1354.495,  53.148,   35.902,  13.127, 690.670, 10000000.000, 0.437, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.377, 3552.709, 1537.411, 128.417,   89.199,  13.480, 790.996, 4268639.000, 0.433, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=32768/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              32768, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 8.401, 3773.254, 1354.259,  82.295,   60.884,  10.936, 840.118, 10000000.000, 0.359, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=4096/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.561, 3743.260, 1882.635,  97.616,   59.098,  14.567, 834.182, 4268639.000, 0.503, 1.000, 4.487 
page-size-builds/-DPS_I=1024 -DPS_L=4096/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 8.547, 3836.380, 1589.461,  85.921,   57.854,  13.139, 854.661, 10000000.000, 0.414, 1.000, 4.489 
page-size-builds/-DPS_I=1024 -DPS_L=4096/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.648, 2786.507, 1637.763,  61.563,   35.611,  16.719, 620.401, 4268639.000, 0.588, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=4096/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.126, 2751.270, 1326.686,  46.073,   28.630,  14.056, 612.576, 10000000.000, 0.482, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=4096/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.660, 2798.791, 1633.519,  61.357,   35.317,  16.698, 623.135, 4268639.000, 0.584, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=4096/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.117, 2747.243, 1326.743,  45.927,   28.343,  14.058, 611.680, 10000000.000, 0.483, 1.000, 4.491 
